Artefact,Method,Model,Radius,Angle_1,Angle_2,Angle_3,Angle_4,Angle_5
Core627Aa,R,R,1,98.8,97.2,102.0,103.1,105.2
Core627Aa,R,R,2,87.3,90.9,93.8,92.5,97.1
Core627Aa,R,R,3,81.1,83.3,86.0,86.7,92.8
Core627Aa,R,R,4,76.5,77.4,80.6,83.5,89.1
Core627Aa,R,R,5,72.1,73.9,76.9,81.0,87.5
Core627Aa,R,R,6,69.0,71.1,74.9,79.4,86.0
Core627Aa,R,R,7,66.7,69.1,73.5,78.7,85.4
Core627Aa,R,R,8,65.9,67.9,73.1,78.4,85.3
Core627Aa,R,R,9,65.3,68.1,73.6,79.3,85.9
Core627Aa,R,R,10,66.5,69.2,74.8,80.4,87.2
Core549,R,R,1,87.5,87.0,89.1,87.5,96.0
Core549,R,R,2,73.4,73.1,71.8,72.7,79.4
Core549,R,R,3,63.2,62.2,60.2,64.0,73.2
Core549,R,R,4,54.8,53.1,53.5,59.7,68.1
Core549,R,R,5,45.6,46.9,50.3,58.1,66.4
Core549,R,R,6,27.8,24.8,50.2,57.4,66.1
Core549,R,R,7,18.0,11.6,31.8,59.2,67.6
Core549,R,R,8,18.0,11.6,31.8,59.2,67.6
Core549,R,R,9,18.0,11.6,31.8,59.2,67.6
Core549,R,R,10,18.0,11.6,31.8,59.2,67.6
Core359e,R,R,1,109.2,127.8,135.3,135.8,136.5
Core359e,R,R,2,99.9,123.0,130.5,133.6,134.7
Core359e,R,R,3,96.7,121.8,131.1,133.9,135.5
Core359e,R,R,4,96.2,121.8,131.3,134.1,135.6
Core359e,R,R,5,96.4,122.5,131.2,134.4,136.7
Core359e,R,R,6,99.3,123.3,131.6,134.8,137.7
Core359e,R,R,7,103.1,123.8,131.8,135.3,138.8
Core359e,R,R,8,107.3,125.0,132.2,136.0,140.6
Core359e,R,R,9,111.0,126.0,132.7,136.9,141.3
Core359e,R,R,10,21.5,127.3,133.1,137.3,141.2
Core359c,R,R,1,121.3,117.7,118.7,115.9,120.1
Core359c,R,R,2,110.4,112.3,112.7,111.5,113.8
Core359c,R,R,3,104.0,106.0,110.5,110.1,112.0
Core359c,R,R,4,103.1,104.1,107.4,108.0,110.3
Core359c,R,R,5,101.5,103.9,105.0,107.3,109.7
Core359c,R,R,6,100.2,104.6,104.3,107.3,109.6
Core359c,R,R,7,96.6,101.7,103.3,106.9,110.3
Core359c,R,R,8,28.2,100.0,102.3,108.2,111.9
Core359c,R,R,9,24.2,100.3,101.1,110.9,114.3
Core359c,R,R,10,19.9,12.3,37.2,111.8,115.4
Core359b,R,R,1,111.9,115.2,120.7,120.7,122.7
Core359b,R,R,2,102.4,110.1,114.2,115.8,120.8
Core359b,R,R,3,97.5,108.1,112.9,116.3,122.5
Core359b,R,R,4,96.6,107.0,112.5,116.9,123.4
Core359b,R,R,5,95.2,106.0,111.8,117.4,124.2
Core359b,R,R,6,69.2,104.4,110.6,117.9,124.8
Core359b,R,R,7,50.2,78.4,111.4,117.9,125.0
Core359b,R,R,8,36.3,60.3,78.2,117.5,125.2
Core359b,R,R,9,19.3,51.9,65.1,115.4,124.3
Core359b,R,R,10,10.9,45.9,56.9,65.5,124.3
Core359,R,R,1,101.7,104.3,112.5,123.2,127.3
Core359,R,R,2,92.6,96.6,104.3,118.2,123.6
Core359,R,R,3,88.8,92.6,102.6,116.3,123.1
Core359,R,R,4,86.7,91.4,101.8,115.0,123.2
Core359,R,R,5,86.7,91.4,101.8,115.0,123.2
Core359,R,R,6,87.6,93.1,102.7,111.7,122.9
Core359,R,R,7,90.8,95.4,104.0,111.1,117.5
Core359,R,R,8,93.8,98.2,105.6,110.9,116.9
Core359,R,R,9,96.7,101.7,107.9,112.1,117.3
Core359,R,R,10,98.8,105.2,110.4,113.7,118.3
Core349b,R,R,1,126.0,141.2,145.2,140.6,139.7
Core349b,R,R,2,123.4,134.9,141.7,139.7,135.9
Core349b,R,R,3,124.0,133.1,140.6,138.9,135.4
Core349b,R,R,4,125.2,129.9,139.5,138.3,135.8
Core349b,R,R,5,126.1,130.3,138.8,138.1,136.9
Core349b,R,R,6,127.5,131.5,138.5,137.8,137.2
Core349b,R,R,7,129.0,132.9,138.4,137.8,137.7
Core349b,R,R,8,98.4,97.6,97.9,102.6,105.1
Core349b,R,R,9,96.1,94.8,96.1,101.5,104.2
Core349b,R,R,10,93.9,93.1,94.5,100.5,103.3
Core349,R,R,1,124.6,126.4,133.0,135.5,130.9
